Full distribution from several runs
parameter values: 
 rho_m_burst: 0.007784255815237953, gamma_m : 0.005, r_p : 0.05, gamma_p: 0.0005, XapR_R: 1, ka : 0.05, kbi: 25.0, kbe: 0.5, kn: 0.00025, c: 925000.0, chi: 0.8, Ka: 50000.0, Kbi: 500000.0, Kbe: 5000000.0, KxA: 5000000.0, KxI: 500000000.0, expEx: 150, expEc: 150
initial values: 
 mRNA: 0, protein: 0, xanth: 0
mRNA data: ,protein data: ,xanthosine data: 
4,462,37548494
2,545,41035220
1,214,26935081
3,605,34476713
0,2,1891705
2,444,37799976
1,298,25954811
2,333,30980919
8,461,28588047
2,383,33105679
12,360,22445526
4,454,36806445
5,534,40566340
0,22,2228449
14,544,31072221
0,442,35040172
0,169,24744083
1,383,31846022
12,630,37192166
4,86,5681608
0,0,1173693
4,554,32389520
0,295,27921901
1,456,33159526
7,414,33370676
5,508,40528920
3,556,40623553
1,343,36469005
5,378,32113951
4,280,27015878
10,273,32572008
2,594,37716469
2,297,26604292
0,0,1234676
10,460,35851392
3,357,31169365
5,474,33819897
1,240,27864165
4,449,38314999
6,426,26784761
7,293,32234682
2,313,36236570
3,472,33985335
3,476,36452127
4,381,27658317
0,20,3405886
1,502,44663207
5,285,20347617
1,467,40292840
2,39,4183481
3,459,29741844
1,375,33764663
0,0,1544356
2,547,38299113
0,326,37285615
5,410,41832419
8,689,38574308
3,420,32393900
1,487,33783875
3,441,36872060
7,354,29643218
0,342,26299815
9,445,36846597
7,431,34881592
5,541,42001967
1,455,35286420
9,445,33362876
6,773,30425030
0,12,1763786
6,404,38750610
1,532,36148572
4,383,33687546
5,444,38333974
7,687,45487173
1,208,31204691
0,384,37258627
5,374,34553377
8,672,40062848
9,302,33663686
4,377,36399318
5,396,34547481
0,297,24640582
1,106,5567656
5,265,18485849
0,17,2209425
7,587,41672490
3,288,33027471
6,567,38998904
1,496,39006499
0,482,33951475
0,52,5481834
2,429,32737074
1,385,29834805
0,0,1172764
1,323,32815187
0,398,31797314
8,319,38124526
1,391,28107128
3,424,34498500
0,443,37209247
4,384,34119328
0,439,35255859
9,703,35833879
7,460,44723730
2,548,48433839
5,340,34827514
8,558,40474240
3,385,24007896
12,365,29811687
4,365,29149370
2,406,33235064
5,193,25777529
4,690,45956896
3,433,35440486
0,0,1490136
3,533,46466231
17,319,21299910
6,571,33676169
5,697,35187726
0,20,1469496
7,366,35394944
1,413,33163429
4,503,28251373
5,449,35095908
6,492,39086806
0,15,2685277
4,333,31892092
2,394,32688565
3,461,40709353
0,10,2127159
5,383,29586091
3,522,40034388
4,413,32358995
2,640,35291806
4,581,29838918
4,492,29867882
5,627,37154205
11,443,41415930
0,0,1246680
3,600,46461325
6,603,43238377
0,272,32632449
10,729,34437824
3,383,31863163
1,406,31882999
0,2,1887594
4,384,32205778
0,53,3606878
0,20,2911683
4,610,44631982
6,666,46612255
7,374,19172037
7,391,32693826
6,521,38851350
1,580,26461253
1,389,34034891
7,434,37239158
3,243,31091727
3,325,33506881
2,441,31427454
4,388,41332744
11,510,39570371
4,596,43344121
1,415,39395619
12,273,29700587
0,488,35416401
0,13,2171349
1,222,25805376
3,248,30182430
5,152,20450261
0,279,28097035
1,493,40629580
5,652,33973494
0,1,1522556
3,369,29979542
1,450,49509058
2,419,35906131
8,483,32293445
9,431,31109074
7,350,32278953
7,483,40661549
6,473,42046027
1,205,22976935
3,457,41518200
10,598,39727317
3,445,36135823
9,413,41100284
1,481,39298910
0,4,2015785
4,539,40822536
6,727,50857786
3,444,41807251
1,548,39870874
8,567,42085264
2,413,41850318
10,540,40743816
2,346,34788735
0,283,34032606
9,369,32177435
8,293,30521905
8,336,35592896
16,530,36234394
0,241,29134176
3,362,35999565
0,363,32734947
0,0,1657624
2,542,32026649
0,360,37356280
2,643,37471414
0,69,7324594
6,460,36337437
4,608,46243660
4,672,41121951
5,638,42955578
7,575,48008899
16,619,37701414
0,8,3204014
0,27,5078863
2,413,31318152
6,582,36752977
0,66,4035427
6,270,27405946
2,460,44544275
10,533,40088768
2,510,39191283
0,529,36792478
0,49,2541743
2,475,40058467
3,572,35292159
3,419,41992828
7,566,39870195
3,423,32768213
8,441,37508193
0,0,1348711
5,404,31742659
1,363,27782274
11,438,35807626
4,624,43846363
0,608,37008721
7,337,29978413
2,550,37565516
3,400,29631635
2,462,39372328
3,490,42601944
13,665,39164449
3,717,40308382
0,4,1884107
5,515,40494416
1,394,32270172
1,362,26764781
4,396,23906531
0,1,2196178
7,394,34233854
0,5,1602075
0,22,2174610
1,288,32680507
5,339,31967735
0,390,33759435
0,260,25522311
0,0,1178791
4,486,34055411
9,671,40703242
0,1,1888499
9,519,39401259
5,639,32913968
2,436,33134455
1,470,37532964
0,0,1714469
7,452,33140967
0,0,1349951
1,373,36735379
8,423,42580732
1,526,38853825
0,0,1158345
0,0,1269239
4,529,51309843
2,519,34850937
5,389,28827800
7,324,28971609
1,537,47061312
2,452,39339487
17,536,43133105
11,584,37529428
4,291,32209015
