Full distribution from 1000 runs
parameter values: 
 rho_m: 0.025000000000000005, gamma_m : 0.005, r_p : 0.05, gamma_p: 0.0005, XapR_R: 1, ka : 0.05, kbi: 25.0, kbe: 0.5, kn: 0.00025, c: 600000.0, chi: 0.8, Ka: 50000.0, Kbi: 500000.0, Kbe: 5000000.0, KxA: 5000000.0, KxI: 500000000.0, expEx: 150, expEc: 150
initial values: 
 mRNA: 4.5, protein: 400.0, xanth: 30000000.0
mRNA data: ,protein data: ,xanthosine data: 
4,449,31019783
2,389,24568656
5,334,27738320
4,288,22972294
5,516,34799118
4,312,23073654
5,474,27740878
4,371,27822857
5,438,28457161
6,428,24754871
4,353,20508689
3,313,25143996
1,429,27706354
3,369,26405563
2,478,28023848
3,424,29863099
3,335,30941532
5,334,22723018
5,466,27038071
2,464,26721759
8,465,26365880
1,260,22926594
4,522,31693838
5,414,28773023
1,439,29548963
5,485,29049439
3,307,23278960
8,542,31551361
4,342,24380115
6,506,27748749
1,286,27273100
5,390,25829851
2,450,35611690
4,493,30550076
3,244,22243480
4,372,28110397
3,314,19024231
3,466,29800542
5,332,25881817
7,368,24782319
6,369,24991314
4,301,22904892
4,244,22887280
6,352,27887319
3,521,33615935
6,441,27023973
2,421,29331800
3,480,28424757
2,414,26445919
3,454,29022139
5,346,23000191
5,247,25468935
2,454,30997600
6,464,26468734
1,409,27176963
4,379,26707495
3,355,23075322
5,263,23219277
5,623,30466663
3,259,26014161
3,389,23932087
2,245,24744148
3,466,25585240
6,547,31918539
6,527,31789469
7,357,28772583
6,485,30953253
7,457,26616537
4,311,22318340
3,485,29176665
4,409,26899818
1,329,25490556
3,442,31012562
3,360,28566455
1,418,26684880
3,416,29768692
2,398,26247502
3,633,35095788
2,392,25073349
3,469,31855557
3,469,29187350
11,477,26398921
3,433,33479931
1,364,30580725
3,454,25676287
1,358,27806944
7,337,28234035
6,403,28982946
3,396,31106934
3,327,29210755
6,382,25890299
4,381,31536377
7,397,27885783
4,558,33125439
7,438,30004697
4,418,27880471
3,472,33986573
6,334,21388424
2,368,26466871
8,424,27341955
8,448,22499519
3,464,30562319
3,371,25305501
2,448,25164209
4,331,23746507
5,318,22011796
4,341,21763342
1,386,26959230
3,329,22017162
7,541,25432432
2,363,26246413
8,375,28178873
0,501,31292549
3,361,26372693
6,675,34755286
6,397,28888659
1,388,28783659
3,354,27264345
5,458,25368900
1,427,28249813
2,368,27267571
8,463,26433200
4,344,29280699
3,472,33558648
6,434,25912166
7,418,26676844
3,262,21639321
3,370,25653688
5,390,26390272
4,383,27652989
8,424,29465738
2,369,29293268
1,359,30206328
6,492,30728012
0,366,25200604
3,280,21436341
6,294,18556005
2,341,27178436
3,377,27386116
4,427,25579401
3,489,30216529
3,386,28053850
6,354,23475935
8,422,31914355
0,454,28198868
7,427,29975053
5,362,26565289
2,529,29578204
2,231,22959380
6,459,25082508
7,435,28972383
6,465,27983329
4,366,23844314
3,451,30879784
4,438,30309340
2,418,28043697
5,322,24537122
2,373,25803631
3,389,26455835
5,370,25450102
2,486,35236820
3,223,21083950
1,332,24928582
4,375,24352551
3,378,27819827
2,479,29969358
4,341,27044139
4,369,24786640
8,382,26985738
2,450,27433393
4,463,29037955
4,327,28850625
5,476,28187244
6,478,30386446
4,499,28673396
5,354,30746991
2,346,24989994
8,392,24381617
6,493,30305225
3,462,30073306
4,326,23814580
7,412,28953305
4,405,27331934
5,325,25797738
10,454,30224902
1,515,36169884
6,469,32077564
4,322,19735736
8,538,29216016
7,553,30459653
2,207,20414414
4,472,30095118
4,442,28227746
3,358,28088906
2,449,33295264
3,334,24563392
6,432,31856298
3,451,29027025
3,367,31000200
4,380,27083512
2,263,23495779
7,495,28840565
2,338,24937303
2,416,26233395
6,414,26234238
6,370,26429142
6,474,30861694
3,389,23505632
4,508,31932166
7,480,29959049
5,400,22888072
2,397,26735445
4,485,28497657
4,318,24303239
1,378,27759685
2,345,24420296
4,327,25610089
4,494,28949950
4,426,30711506
2,327,18483373
5,370,26320020
7,404,28911850
3,480,27201223
2,389,26200129
5,364,26937023
7,479,29011099
2,366,26475566
6,553,32491707
4,472,27776473
9,441,28352527
3,388,25408709
3,530,31951148
4,510,35515443
5,465,31462350
2,331,25810734
4,560,33656588
5,437,30184413
4,443,26386206
3,374,26470212
5,437,30516884
7,250,22804077
3,351,27267260
3,373,26391780
3,505,27574423
5,338,25629349
3,371,28328019
5,369,25848224
5,450,25143790
6,541,28832637
3,378,29507508
3,271,19404076
6,418,28339707
5,525,27957378
4,380,26619481
4,446,27641479
2,390,27694018
9,498,28357850
3,422,27491504
2,305,27823945
4,461,30295182
7,551,28687524
5,441,28585678
5,328,22136475
5,375,23930540
2,368,23547264
4,389,26073955
6,444,28303138
5,408,27753003
6,474,30420260
5,302,20923816
3,384,24113885
3,435,31507081
2,332,25421706
2,293,26276509
6,476,28444658
3,425,28284188
4,417,26396763
3,439,28830841
5,501,30708789
2,353,28379918
7,398,26646127
1,439,30358072
5,415,25726039
4,338,25680651
2,521,35809988
5,429,30974401
5,384,31088184
5,370,28477897
8,377,24682176
6,480,29538666
7,487,30479122
7,432,30165179
4,279,22398218
4,263,23574806
2,518,33069199
7,351,23406839
7,417,29105704
2,458,27455416
6,521,30669363
4,342,25682051
1,417,27443987
2,325,21310404
5,446,29373255
2,469,29100120
4,289,19320637
1,310,25212946
5,395,29762163
2,325,22460928
6,444,33861859
3,499,28814233
3,406,26400678
6,450,25770086
4,445,25031490
6,385,26020914
5,553,28850647
3,348,24676075
3,354,28924705
2,384,29302497
3,313,25826961
4,386,25539127
6,453,29462305
5,491,33624499
3,446,31000335
7,432,22140497
5,345,24875596
4,365,23064305
7,424,24240513
1,295,22235269
3,446,27504020
1,359,27472989
8,496,28569814
6,483,25459376
5,353,19460296
5,538,29802864
6,394,28350092
3,430,30449667
4,315,24486655
4,323,21780350
5,349,21732676
2,320,25973207
5,453,27573569
1,425,26623732
6,408,23776496
6,362,23662691
3,451,33735904
3,459,26320251
0,357,26035062
4,314,26933568
5,482,26657039
3,377,27382667
1,328,26123693
4,391,26892335
3,360,26258090
5,352,24061933
3,475,29810114
9,329,22836876
6,577,30227546
4,395,28466055
1,325,25323805
5,372,28598477
2,431,28664482
4,341,22472104
2,352,24797025
4,396,25601689
4,371,23535031
3,408,26635487
4,442,29121955
7,443,32370465
2,244,20546627
4,468,26700015
1,354,27633627
6,543,32287128
4,387,27629148
3,395,21214264
3,366,25828086
