Full distribution from 1000 runs
parameter values: 
 rho_m: 0.025000000000000005, gamma_m : 0.005, r_p : 0.05, gamma_p: 0.0005, XapR_R: 1, ka : 0.05, kbi: 25.0, kbe: 0.5, kn: 0.00025, c: 450000.00000000006, chi: 0.8, Ka: 50000.0, Kbi: 500000.0, Kbe: 5000000.0, KxA: 5000000.0, KxI: 500000000.0, expEx: 150, expEc: 150
initial values: 
 mRNA: 3.4999999999999996, protein: 350.0, xanth: 20000000.0
mRNA data: ,protein data: ,xanthosine data: 
0,2,987852
0,0,575475
0,0,574016
0,12,962586
0,3,1081137
0,5,952184
0,0,611041
0,0,698256
0,4,806728
0,1,639085
0,3,993781
0,1,579731
0,36,1654300
0,1,722607
0,3,971012
1,13,1093092
0,0,704932
0,6,1022819
0,6,1117032
0,3,814245
0,4,821783
1,8,693796
0,5,702010
0,4,1011212
0,4,947070
3,92,11368150
0,19,784642
0,16,1037362
0,15,1187675
0,0,638606
0,3,1117208
0,0,662265
0,5,1107541
0,19,1846258
0,24,1524765
0,0,843266
0,0,578133
0,12,1682478
0,19,780590
0,0,727661
0,8,669320
0,18,1151487
0,17,1348884
0,0,793648
0,7,790258
0,16,1676261
0,5,1161786
0,10,896294
0,19,799698
0,3,719950
0,17,1288121
0,23,1329309
0,38,1080418
0,9,1182395
1,22,1036664
0,1,805743
0,6,898725
0,0,750298
0,0,616023
0,11,1180964
0,8,1494370
0,16,840158
0,2,874705
0,0,722414
0,5,830279
0,2,707318
0,6,879197
0,4,1067758
0,6,631764
8,374,18735033
0,0,815122
0,16,1028659
0,32,2162472
0,1,1114311
0,19,807216
0,5,1103541
0,0,664418
0,0,577166
0,0,650143
0,4,721207
0,0,698685
1,6,866350
0,7,793463
0,1,944582
0,26,1197830
0,2,775060
0,10,1689066
0,8,695253
0,3,1199048
1,3,675309
0,0,831495
0,8,1258890
0,0,604834
0,20,950637
0,0,585145
0,0,680857
0,0,681878
0,3,737919
0,21,990993
1,2,955097
0,1,640788
0,8,1325344
0,4,1115922
0,4,1238680
0,0,639914
0,9,1143996
0,0,694237
0,0,591511
0,0,641337
0,0,779452
0,13,652506
0,7,1225937
0,20,1892753
0,6,1874320
0,0,666913
0,6,920171
0,7,1024559
0,0,752111
0,0,624034
0,0,568385
0,5,905827
0,0,634746
1,6,732273
0,8,794888
0,1,1418149
0,2,1075014
0,18,1152421
0,0,563706
0,0,617220
0,3,624305
0,18,1271087
0,1,981847
0,1,666853
0,5,760027
0,11,887087
1,8,829372
0,8,1055075
0,0,708131
0,3,935455
0,0,698701
0,4,1196303
0,8,1183035
0,11,1501856
0,3,907068
0,3,661945
0,0,579117
0,7,1057984
0,2,959624
0,3,715923
0,8,1718251
0,2,789731
1,4,665371
0,0,631136
0,0,649581
0,14,1275683
0,9,1047712
0,0,633710
0,8,1128050
0,6,1159864
0,0,583207
1,14,610675
0,1,822717
0,2,762749
0,2,824158
1,5,753783
0,0,561692
0,0,960227
0,14,931782
0,1,908246
1,35,1254575
0,0,809671
0,0,589342
0,0,678285
0,9,1219004
0,1,853962
0,0,705050
0,0,563829
0,16,1207570
0,0,625362
0,64,1544494
0,7,771977
0,8,959329
0,0,605575
0,0,623932
0,0,1037304
0,29,977328
0,38,1199450
1,3,850084
0,2,1378972
0,6,1005730
0,7,1566580
0,9,1323860
0,0,852724
1,12,742835
0,4,909664
0,9,924885
0,20,642997
0,10,1350124
0,0,691201
0,0,562095
0,11,1186682
1,0,709327
0,5,1294460
0,0,610009
4,349,20243461
0,0,683775
0,8,956522
0,6,1019214
0,1,765312
0,0,642881
0,3,702257
0,3,868121
1,8,1260452
0,3,989793
0,23,810764
0,1,732219
0,5,1036563
0,4,953857
0,5,889594
0,2,855742
0,4,1237163
0,0,803504
0,7,1605014
0,12,817586
1,21,1221507
0,0,601802
0,0,648768
0,0,625631
0,13,905588
0,0,1001939
0,2,734520
0,2,730782
1,11,1062912
0,1,614581
0,0,634303
0,16,1775579
0,3,888480
0,13,898519
0,2,1082288
0,4,771510
0,0,677280
0,3,777239
0,0,642352
0,1,958412
0,0,595372
0,0,569167
0,20,1372110
0,0,698667
0,28,745232
0,4,776610
0,5,678145
0,2,810048
0,6,893622
0,0,562198
0,1,621219
0,9,1110861
0,0,738861
1,13,1076366
0,0,602972
0,0,613583
0,10,1810669
0,1,752295
1,5,582509
0,1,793746
0,13,890642
0,3,1254484
0,10,739077
0,37,1280858
0,9,977019
1,19,1092013
0,20,1577780
0,0,670408
0,0,696658
0,4,947713
4,265,15933423
