Full distribution from 1000 runs
parameter values: 
 rho_m: 0.025000000000000005, gamma_m : 0.005, r_p : 0.05, gamma_p: 0.0005, XapR_R: 1, ka : 0.05, kbi: 25.0, kbe: 0.5, kn: 0.00025, c: 500000.0, chi: 0.8, Ka: 50000.0, Kbi: 500000.0, Kbe: 5000000.0, KxA: 5000000.0, KxI: 500000000.0, expEx: 150, expEc: 150
initial values: 
 mRNA: 3.4999999999999996, protein: 400.0, xanth: 25000000.0
mRNA data: ,protein data: ,xanthosine data: 
0,1,796927
5,381,27381500
0,14,2661899
5,299,23373116
2,412,26183515
3,397,26113803
3,329,24840603
4,410,22214089
0,9,1241002
3,402,20813428
6,415,25196744
0,1,778871
0,0,847351
0,275,18949864
6,537,21555225
1,339,18093254
3,439,26415968
3,436,23238344
0,5,1240438
0,324,26161976
0,2,681153
1,346,22697707
5,405,22833536
3,279,24378721
3,314,23084759
3,342,17188773
0,2,1018439
2,397,25344016
2,313,18366084
3,207,15851606
4,457,29760013
2,270,18712423
5,366,21000153
5,336,20779018
2,298,24902205
0,13,1540499
1,353,21413870
2,320,22437146
3,399,21671555
7,371,20534969
0,10,1636741
0,16,1260248
0,0,660200
0,3,1010978
3,338,21605887
4,384,23239405
0,0,709765
7,377,22402460
0,0,908012
5,372,20805552
3,92,10051952
0,20,1389411
4,406,25625587
5,493,28622803
0,1,741195
5,379,23835157
1,311,17555366
0,3,1349291
4,266,17413953
0,8,660439
6,374,25328760
4,340,21541104
1,23,1045294
4,347,25931640
0,8,1076408
3,302,24435267
3,434,26143923
0,0,878569
3,351,22857380
2,312,23976806
1,389,24726422
0,3,726337
0,9,849527
6,399,25888088
5,538,30224659
4,391,20969172
7,505,23469080
0,13,1285263
2,342,23367867
5,369,20020696
0,4,851412
4,399,26937171
5,453,27619651
1,341,22378925
1,397,21714152
1,304,21342883
2,572,28522349
3,445,23890217
0,12,1562551
0,10,1190321
7,357,17753191
3,294,22658723
2,249,19488284
0,0,628494
0,2,969491
5,377,22029878
3,457,27188894
5,315,21485899
6,429,29331350
0,2,1012133
3,288,16832566
6,355,22274917
3,362,24367916
2,364,23131893
2,473,24699047
6,405,25276870
2,288,21460790
6,364,23656115
0,3,1197362
6,560,30027672
0,2,793203
4,488,27021328
2,241,15506847
6,382,23205964
0,10,1238481
5,388,23872843
1,286,22333035
0,6,1464886
4,425,25730045
0,3,1054228
0,2,873035
0,25,853549
7,315,17949374
4,354,20447407
3,317,20928840
0,4,948521
1,459,25019571
2,329,20697662
2,407,21131869
3,377,22459732
2,279,17031273
3,368,24984538
0,8,2174602
0,1,784280
0,0,715186
4,341,19567685
1,309,23017680
2,222,17557403
3,293,20354835
1,266,17525573
4,385,24426240
3,367,22631057
3,404,20656739
5,466,21838910
6,511,28434620
3,390,23648888
4,280,19931367
0,1,920756
7,383,21623899
1,312,21360488
3,258,19346299
4,289,18074544
2,357,19984801
7,323,21199669
7,305,21918221
6,360,20864071
0,11,1467692
2,388,25045494
4,478,29095964
0,1,755878
4,340,19317027
0,11,1033414
3,321,21296423
0,1,721971
2,408,24090288
4,349,23280449
5,352,18644826
2,376,25625903
3,404,26867595
3,334,24374685
0,0,791430
6,351,19652559
3,326,22492178
0,1,842236
2,174,12543672
5,386,25912489
4,402,26512047
3,355,22673794
4,410,22803854
1,22,1272434
4,239,15819737
5,348,22058071
4,372,23791124
0,3,1121506
5,440,26678962
0,244,19921838
0,7,944224
0,1,744232
4,448,24131827
0,5,1299738
0,0,696253
1,313,24110714
3,288,18437861
3,429,25668089
2,397,22632438
6,281,21525138
4,228,17940159
1,288,18309023
4,378,24235253
0,3,1202352
1,306,19812283
2,277,15825733
4,468,24375981
0,6,1544165
3,312,22739338
2,297,22972865
7,399,23252895
0,215,16054400
0,20,1668294
5,258,20280746
0,218,15677218
0,6,1021926
0,2,793503
0,8,1802037
2,259,18374308
3,469,26342746
0,12,1103272
3,268,17788100
7,382,24413029
0,0,681903
1,262,17840142
0,0,765087
0,2,877144
5,424,24355796
1,289,18904824
0,34,1866214
0,8,1149581
1,381,25394870
1,295,19873692
7,467,23142602
0,7,1776303
0,2,1057900
4,345,24239314
0,40,2145946
0,4,856449
0,0,707941
2,437,26150929
2,421,27381859
1,254,17815152
3,332,20343042
2,216,17443192
0,7,1184305
2,354,23744659
0,23,1491111
0,0,662907
1,423,21807717
1,478,27333412
3,384,19083753
5,250,17555443
7,543,25798383
0,0,745554
0,0,624304
0,10,956564
2,317,25620476
0,2,1001353
5,259,16726430
4,386,22418388
2,22,4389178
2,346,21583761
0,5,1319734
2,332,21088240
0,10,1123702
1,367,23303361
0,1,927943
2,283,20440221
0,0,842951
6,258,22246572
1,411,26110029
2,396,23295609
0,2,1001196
2,241,20796392
0,265,21748831
1,388,21604231
4,449,25430770
0,276,20862677
4,372,26391437
0,0,886612
0,18,747971
0,13,1617707
1,374,20298113
5,381,23008695
0,7,1652777
0,5,920548
4,422,26196120
7,457,26166092
0,0,697080
1,307,21455557
0,1,887862
0,16,1030290
5,565,27713245
5,364,20251537
0,0,651106
0,12,1123490
3,459,24126935
3,317,20887642
4,313,21660867
5,327,20790206
2,417,24397551
5,431,23703019
6,372,25299617
4,329,18587081
5,387,25128321
