Full distribution from several runs
parameter values: 
 rho_m_burst: 0.007784255815237953, gamma_m : 0.005, r_p : 0.05, gamma_p: 0.0005, XapR_R: 1, ka : 0.05, kbi: 25.0, kbe: 0.5, kn: 0.00025, c: 600000.0, chi: 0.8, Ka: 50000.0, Kbi: 500000.0, Kbe: 5000000.0, KxA: 5000000.0, KxI: 500000000.0, expEx: 150, expEc: 150
initial values: 
 mRNA: 0, protein: 0, xanth: 0
mRNA data: ,protein data: ,xanthosine data: 
0,0,808091
0,21,2729918
0,3,2227084
0,12,1262139
0,0,749864
0,0,752491
0,0,750647
0,2,1871131
0,0,1042325
1,456,30490423
0,0,763385
0,0,904587
2,68,3101008
0,36,1273798
0,0,761352
0,0,821922
0,0,883617
0,0,909041
0,1,875799
0,59,1313704
0,4,1866095
0,0,793264
0,102,5892685
0,0,887070
0,79,1695112
0,2,947712
0,0,774680
0,0,1033959
0,0,751231
0,7,1108631
0,1,797879
0,2,915253
0,0,750869
0,33,1145561
0,9,1935116
0,1,1608598
2,55,1254767
0,0,787618
0,0,854739
0,0,748567
0,6,2480279
0,12,1906958
0,0,756490
0,13,866387
0,0,751427
0,12,1538626
0,0,757739
0,0,753087
0,0,1379568
0,12,1833948
0,5,1541733
0,0,827582
0,0,749357
0,1,996387
0,7,1289899
0,5,802865
0,2,882055
0,1,1091730
0,0,1426195
0,2,2012669
0,0,1953521
0,0,1049724
0,0,877715
0,4,2050337
0,0,751309
0,0,1013976
0,2,1392298
0,0,764470
0,0,1080991
0,0,2270448
0,0,761210
0,6,1365506
0,6,1703861
0,55,1822247
2,365,28354765
0,20,1601628
0,0,1120576
0,49,1564360
0,0,927286
0,1,942770
0,0,930406
0,6,1145226
0,0,775953
0,16,1492798
0,1,1159829
0,7,1962147
0,0,887213
0,0,758946
0,0,1135687
0,0,757943
1,55,1985089
0,1,1510182
0,0,828477
0,0,1011267
0,0,755953
0,0,780452
0,0,775124
0,42,2864915
0,2,1031788
0,32,4422190
0,4,1327721
0,19,1545939
0,37,1783656
0,0,826980
12,690,29342413
0,47,2410984
0,3,1273412
0,11,1467516
0,0,866169
0,0,834082
0,0,751116
0,0,758255
0,1,1460322
0,15,1652351
0,0,752403
0,19,2314115
0,2,1069552
0,0,771710
0,0,748298
0,24,2769224
0,11,2087938
0,3,1299835
0,0,786147
0,4,1337926
0,18,1332510
0,9,1113151
0,2,1248597
0,0,1029660
0,20,1874494
0,0,1425597
0,0,756934
0,27,1928795
0,0,997318
0,0,1445934
0,4,1930317
0,0,762008
0,0,855249
0,4,1470776
0,0,750858
0,2,1122197
0,3,878387
0,0,749367
0,0,752661
0,4,1464634
0,114,13034815
0,0,1658927
0,2,950904
0,3,1204305
0,0,768895
0,4,1887004
0,0,752228
0,0,767328
0,0,1174867
0,2,936979
0,10,1099015
0,6,1346652
0,1,1867316
0,31,1417512
0,0,795285
0,0,1144082
0,0,749309
0,0,1038015
0,8,1364045
0,22,1189925
0,0,830751
0,0,748533
0,7,1738740
0,10,1395414
0,0,765951
0,0,746500
0,28,2381587
0,0,984373
0,0,749282
0,17,1971767
2,23,1533218
0,0,802346
0,24,1255692
0,0,755635
0,0,751095
0,0,807192
0,2,1188013
0,12,1925135
0,0,751593
0,2,1274206
0,62,4258908
0,8,2296909
0,1,996877
0,0,842875
0,20,1282248
0,0,1193509
0,6,1129052
0,0,791480
0,0,838949
0,0,913172
0,19,1595534
0,0,768214
0,0,871378
0,5,1091092
0,6,2086512
0,3,1040851
0,13,2124178
0,0,832778
0,0,767009
0,0,751088
0,0,873671
0,205,13758277
0,4,1851728
0,0,1640208
0,25,2514621
0,0,779993
0,1,1092171
0,0,799089
0,0,774812
5,542,40917197
0,0,783136
0,0,755435
0,0,876580
0,12,1261124
0,10,1179366
0,0,780732
0,21,4809024
2,152,3416420
0,0,768448
0,7,1395621
0,0,753716
0,0,885780
0,0,752039
0,2,1091193
0,3,1481269
0,0,850517
0,0,748164
0,0,752333
2,3,1069346
2,22,794007
0,1,2289458
0,0,1044675
0,11,1268557
0,0,897062
