Full distribution from 5000 runs
parameter values: 
 rho_m: 0.025000000000000005, gamma_m : 0.005, r_p : 0.05, gamma_p: 0.0005, XapR_R: 1, ka : 0.05, kbi: 25.0, kbe: 0.5, kn: 0.00025, c: 1250000.0, chi: 0.8, Ka: 50000.0, Kbi: 500000.0, Kbe: 5000000.0, KxA: 5000000.0, KxI: 500000000.0, expEx: 150, expEc: 150
initial values: 
 mRNA: 0, protein: 0, xanth: 0
mRNA data: ,protein data: ,xanthosine data: 
4,335,36735625
2,465,42521790
7,391,35015846
1,450,40776589
3,372,36745503
7,377,34983798
4,348,33138359
2,492,38284836
6,501,43587920
4,340,34321192
6,473,39038381
2,323,34593840
5,405,36266436
5,502,45234692
3,437,38733260
3,455,38147609
4,439,39371008
3,406,38047778
2,328,36439982
5,510,43163448
2,530,44923204
4,507,40780561
6,535,39745691
7,461,44948577
2,419,39150465
3,394,34866686
6,418,37084308
3,443,41178878
6,603,51646708
7,490,41128043
3,434,37824985
3,404,41134593
6,510,47613058
4,388,34615559
7,442,39773035
3,420,38344970
4,435,45632252
0,324,36002118
5,549,51272801
5,376,41590330
9,403,38738113
2,311,33040606
2,478,41167962
5,418,44876220
1,452,39069129
5,461,38456728
5,551,40361852
7,480,41614924
3,458,42534928
4,416,44910329
7,520,42377015
4,402,35501790
4,462,37396206
6,557,44263231
8,515,37885372
5,471,39013101
3,352,38117491
4,357,32646443
5,488,47274323
3,398,40309163
6,337,38383772
5,410,34136476
5,447,37540743
4,373,36085700
4,407,39188829
4,422,35966459
2,332,40474315
10,577,45683251
7,543,49807607
4,333,39129241
5,395,30778256
6,447,37259881
4,407,39998773
4,388,39175025
4,478,41117812
4,435,42847590
4,353,35825760
7,550,45939825
5,429,35925701
7,442,41267868
3,413,34426109
2,430,39288738
2,440,44381081
6,403,41709976
2,429,35989600
5,605,44631173
3,345,37676947
6,546,39445232
4,451,41582962
6,412,38259079
7,384,42517032
5,619,50620896
7,522,43097615
5,351,37047045
6,419,40570051
7,508,39876641
9,477,41143929
5,334,32097938
4,462,39456465
4,496,41486069
2,379,41265284
4,451,39684602
3,497,45907349
5,470,38923103
5,502,37942231
7,499,41447491
7,506,41406369
7,486,47578770
7,606,44854596
0,344,37622064
4,434,39783530
2,453,40395730
4,454,39831415
6,506,41930582
5,423,42476096
1,245,29363178
8,526,41994706
5,617,48209063
6,405,39472621
4,497,40392176
3,451,38359007
4,402,35936492
2,482,41614249
3,537,43168096
5,433,40565178
1,349,42986066
1,418,40922980
2,414,40370701
3,465,43684090
5,389,32247049
6,436,39727676
3,445,43371643
6,496,36362942
3,413,41129405
3,403,41647503
5,471,44263913
6,466,42056339
5,508,40984105
2,429,39390601
7,435,37832046
6,433,37373741
7,574,40593959
2,463,45416000
1,350,34195598
3,367,37247337
1,497,46240876
7,401,37289441
3,459,43102191
5,412,37881439
7,610,47022300
7,411,41056010
4,446,41728064
2,460,40030815
4,441,39001940
5,418,41545210
4,361,33370106
5,383,38724361
9,369,42516449
6,396,41335135
5,381,43161429
9,516,37731715
3,402,39362724
3,454,37296127
6,369,28028246
1,382,32412124
6,487,44594883
2,529,46632933
4,374,39081126
2,454,40515211
5,351,33937448
3,498,38599191
8,458,39810897
10,390,39062554
5,387,40502385
4,497,43922383
4,352,35190225
2,404,38611113
8,498,37619675
5,490,39166846
6,339,38084888
2,446,39137574
1,382,36121186
1,398,41636483
5,417,37369917
6,495,44096405
3,396,35604987
9,546,47041151
0,366,39271259
1,342,38219525
5,446,37704613
6,419,40778547
6,417,37134423
6,414,34884774
3,474,43645343
5,496,41445946
6,488,44149706
1,408,41955725
2,442,39608811
2,365,40335983
5,474,41656478
5,437,39984633
1,497,39565109
4,448,39694028
4,517,40208876
4,405,35293496
2,404,40132971
4,419,42470434
6,590,43855863
3,358,39058305
2,472,42737188
1,430,35750508
4,462,41313433
4,388,41936702
7,337,37900933
3,384,37906358
4,490,46813735
7,502,39182218
2,414,41412619
4,458,39758769
5,348,37639701
5,417,37280498
5,355,43832848
7,493,39079757
6,497,41590757
3,409,40205699
2,450,43431695
2,468,46609402
7,339,39100284
6,590,38587367
13,443,37460316
6,409,40542814
3,364,33264078
6,381,36988423
6,700,44979033
3,515,41855793
7,455,38722666
3,393,39525186
4,428,38968827
4,507,43934997
2,602,49541161
6,457,41916170
6,360,34265794
7,409,43679919
4,433,40062903
3,455,41188753
7,515,36645875
4,392,43154422
3,418,42292159
8,369,42458529
5,363,36229119
3,386,44728681
4,309,33449780
6,483,40893538
4,420,39599605
2,406,42564362
3,448,42387195
6,442,39694879
3,466,43246513
15,465,40159159
4,496,45847670
5,477,43952385
3,353,36313519
3,390,34926106
2,401,40587721
5,482,40595936
4,518,42370876
7,439,41393052
3,440,35265678
4,425,39201259
5,379,40244600
3,451,42554173
3,437,34494166
6,434,38749872
3,411,41772045
7,488,41637783
1,393,35137433
8,399,42960009
1,417,40407472
2,558,50494511
4,432,39374849
4,404,38628878
6,658,44586188
6,471,42786835
4,509,38630834
7,353,39143844
6,428,35244648
4,516,41651951
7,546,42323174
5,471,42467156
5,428,43282264
5,406,43085180
3,383,35121815
5,448,38787414
3,491,43094997
5,397,36350778
7,579,39301753
2,322,36480873
3,491,37837186
1,468,43341049
8,411,37570447
6,462,40677440
5,485,42365145
5,446,34438674
5,462,37589842
6,530,41198560
6,474,41125831
5,428,41014478
5,521,39618942
3,539,39332375
5,486,39274217
0,370,36493157
3,392,38667424
10,592,42990631
3,471,41373322
3,468,41594244
1,455,36982566
2,472,42961964
3,421,39236836
5,421,36043164
2,507,44433227
8,462,39054512
3,573,43679598
2,373,38058875
4,349,39657988
5,412,39790722
0,412,40438596
3,485,41539252
5,406,38293072
2,440,38177148
2,484,44507357
10,466,37185074
4,503,40636105
10,572,50639164
4,376,37899028
4,474,39938530
6,429,41512445
6,508,44290924
5,407,43595779
2,253,31791559
3,486,44699373
6,510,44111629
4,496,35636973
5,449,40395547
6,474,43039309
3,559,43161514
7,453,44360792
2,551,42593993
2,404,36005485
3,407,37510781
10,504,44674827
3,427,36083436
4,414,36439495
3,392,39668651
4,544,48843403
2,519,42781048
6,430,38058231
3,442,37121177
6,484,38814756
5,436,41796856
6,434,39929709
3,432,35608362
5,364,37087983
0,401,44046421
2,383,37301330
7,488,41514300
3,447,38944514
5,478,45738637
4,440,39074295
4,498,37179525
6,438,40763773
10,552,43611195
8,472,38547792
2,370,37591521
4,430,37943613
7,417,38927733
3,419,42994147
0,405,35771420
5,568,43368029
3,402,41901311
4,348,42362797
5,553,37680504
2,435,38482944
7,506,50702969
7,400,37473670
3,632,46603647
2,347,31001316
4,393,39973313
3,456,40095527
7,522,48572123
4,428,40401781
7,408,34555835
8,424,39465728
5,334,39368529
4,389,39164944
3,377,40387064
2,285,33311573
5,383,38571967
7,402,36611527
7,511,42343036
4,411,34407338
4,505,43845517
5,439,39121617
3,386,42227407
3,372,38938480
2,489,46063367
2,345,41966035
3,339,36380917
5,428,40263407
6,489,38621633
10,416,39079947
4,391,37713538
1,402,36136285
4,500,38825016
8,588,43128634
6,427,34257867
9,389,36807200
5,529,44772267
2,397,43407937
3,489,40958437
3,582,42510886
5,421,42964753
5,418,37897141
4,501,42353194
4,619,47484178
6,422,37628854
6,436,40608830
2,390,44061290
10,423,35429831
3,429,40512955
4,496,44484626
5,404,37186125
3,389,39276003
2,312,38811423
3,547,43107545
4,420,34726004
4,458,44025542
4,470,44930328
7,491,43786640
7,486,42627844
4,464,39793472
4,485,43454808
6,456,39090544
6,449,41158233
4,383,40355913
9,486,41938167
6,521,46320251
7,471,42810259
4,458,43472086
3,533,43267902
6,318,37374679
8,622,42164413
7,471,41564112
5,468,41497518
7,436,36118077
8,379,35091603
1,413,39240616
