Full distribution from several runs
parameter values: 
 rho_m_burst: 0.007784255815237953, gamma_m : 0.005, r_p : 0.05, gamma_p: 0.0005, XapR_R: 1, ka : 0.05, kbi: 25.0, kbe: 0.5, kn: 0.00025, c: 875000.0, chi: 0.8, Ka: 50000.0, Kbi: 500000.0, Kbe: 5000000.0, KxA: 5000000.0, KxI: 500000000.0, expEx: 150, expEc: 150
initial values: 
 mRNA: 0, protein: 0, xanth: 0
mRNA data: ,protein data: ,xanthosine data: 
11,214,29457897
0,0,1420006
5,421,33331382
4,387,37635417
2,333,37842613
4,721,38667060
2,387,37795625
0,273,22359485
4,437,42404185
0,3,2808740
1,384,31921519
1,422,32991307
7,484,46483603
7,339,26957237
9,581,36187123
5,358,29796186
4,381,30474231
2,220,27147533
6,579,40072454
14,472,42753291
0,0,1096918
10,817,45489656
7,284,26831726
0,300,34495545
0,7,1769369
6,323,26953851
0,0,1321510
0,0,1363851
0,4,2201604
0,351,38284580
0,3,1558775
2,277,31800467
6,665,34262850
1,371,30864277
3,363,33011642
0,14,1402584
1,337,33255482
4,436,40980639
2,515,36338903
1,426,42131451
9,180,22679470
7,370,41932877
11,357,26604305
1,400,32198543
0,7,2958705
1,326,35624123
10,477,35488739
5,520,31736773
4,413,33223593
3,342,28878016
1,275,28607394
0,31,1378823
6,664,41763786
1,329,28425769
3,210,12999158
3,549,47857682
1,440,38710157
11,253,29914735
11,443,37487405
1,372,32116717
10,538,38273582
14,625,33804687
3,256,33699249
3,312,25179067
1,21,1318971
3,407,34122869
10,562,37522249
7,458,27743425
3,522,29469690
6,524,39047585
2,437,27519031
4,343,37991791
0,0,1414931
5,309,29365499
7,475,39388873
2,380,33834332
7,438,34601503
4,345,34732892
3,456,26625580
6,322,40126082
8,472,31971735
0,198,13197187
6,568,34116840
2,282,33147123
0,0,1183447
0,0,1384615
3,424,32077216
13,480,31271901
3,595,27623092
3,315,33915307
4,393,42004045
0,23,2811338
3,419,40867147
8,817,42443956
0,0,1209599
15,511,38782398
0,168,26150630
1,552,37115187
4,466,33030587
3,310,36584395
1,560,34325600
0,384,30100773
0,7,2722786
0,4,2578440
0,0,1143662
5,342,23824148
17,102,10736071
0,11,3275119
2,23,2478316
2,282,36880045
6,400,38530210
5,431,34731829
8,577,40933068
1,269,23340668
1,494,37402623
0,5,1928405
1,318,35275529
5,333,34992786
2,485,36120784
3,400,34366496
2,252,27598291
5,251,22621835
3,521,36247810
0,0,1097251
2,537,36213215
0,0,1408810
6,384,38359266
7,539,33575130
20,561,37330493
0,389,39824640
0,0,1295133
8,468,38244310
10,540,26883052
1,461,37547601
1,316,26945533
8,512,34034466
3,386,34685605
