Full distribution from several runs
parameter values: 
 rho_m_burst: 0.007784255815237953, gamma_m : 0.005, r_p : 0.05, gamma_p: 0.0005, XapR_R: 1, ka : 0.05, kbi: 25.0, kbe: 0.5, kn: 0.00025, c: 1250000.0, chi: 0.8, Ka: 50000.0, Kbi: 500000.0, Kbe: 5000000.0, KxA: 5000000.0, KxI: 500000000.0, expEx: 150, expEc: 150
initial values: 
 mRNA: 0, protein: 0, xanth: 0
mRNA data: ,protein data: ,xanthosine data: 
18,593,43094380
1,345,42388389
3,499,39241678
4,295,42465250
2,382,32164243
1,296,33528727
1,535,35322220
0,264,33543004
6,282,31438299
1,405,45174527
9,391,36586726
2,512,48076566
8,707,53661532
2,209,38413056
1,773,55118842
9,702,43471099
14,266,30661412
6,507,40097264
0,276,38139002
11,628,39460461
6,421,37114127
4,629,50721916
0,237,26639365
1,249,35291280
3,431,42286595
16,707,44547566
11,454,36940088
2,365,40308477
5,289,33164333
4,553,47285850
6,515,46491494
1,387,33620565
5,473,43541153
3,295,32549233
0,331,37771089
4,408,35780675
11,411,39972154
2,528,46088924
1,337,43853552
1,301,35871030
8,586,44006212
2,592,40353955
0,485,43701230
6,467,39487384
1,355,35760010
2,437,44137258
4,507,36762797
1,342,37717100
4,249,36893618
4,297,30791441
9,542,38445624
1,629,51865248
5,376,40699248
6,514,47554361
4,459,43849296
3,519,42091547
8,599,38764151
11,575,45504533
11,485,37127259
4,528,41232281
3,336,36648292
4,406,41575031
7,379,37356839
6,632,35899446
6,386,36780958
0,412,47849456
9,496,36610500
6,618,34083696
2,516,43945049
9,427,36725684
8,575,43468401
2,444,35977557
0,428,39807287
13,499,43669635
12,495,36627654
4,442,37354028
1,430,42600768
9,486,36250248
2,420,41833696
4,621,49268845
4,548,31976622
13,616,47333821
7,632,40548249
6,506,38961950
2,608,50562167
0,355,32295362
0,567,48919640
5,504,45583910
4,504,38755388
1,337,41227127
3,454,46027199
1,576,44838595
1,348,38272842
3,499,34160581
0,301,31126686
0,454,46631469
7,490,44300884
3,309,39291974
0,522,41189765
3,514,32784582
2,499,48905954
1,456,33113023
0,410,47938451
4,482,33351571
8,427,39801779
8,372,31352325
2,349,43263868
3,219,40667859
0,320,36871816
0,386,39411251
5,505,45719777
2,595,43712510
5,429,36006246
4,513,43673162
1,428,32318027
1,460,38394533
5,429,43770828
6,515,41160386
1,508,38643960
2,432,46003765
9,429,38676015
10,553,37820547
0,315,36049279
3,599,40049799
4,384,36643886
1,414,39600321
8,788,46489873
11,396,38648246
12,313,34183484
2,479,45382223
2,330,28145542
2,483,43278085
7,592,49807652
5,586,44732067
6,474,35510764
6,414,35349354
4,420,46055602
4,549,39641702
4,338,39060020
8,639,49734531
5,488,40175062
2,475,43234819
8,336,34584443
13,536,39342580
22,278,32510488
0,507,48809871
8,523,41624251
1,388,38973669
4,403,44176893
1,508,53425140
4,464,46735689
1,261,40549398
5,348,38451376
2,653,47301962
4,479,45852509
1,259,35994151
5,370,27424541
2,543,41749330
6,668,41619762
1,260,32447361
2,509,45470120
0,601,46786293
10,438,38451612
1,337,30058057
0,441,43160218
1,421,40243255
0,389,38280522
0,410,38035865
20,479,43203630
1,385,33421985
8,428,36650446
3,554,53188080
2,361,34298242
9,532,40022645
1,379,36951871
6,321,31676179
11,406,49275204
7,380,42653110
3,437,39744370
6,381,33675754
0,333,43603396
1,362,32810722
5,306,29663457
3,407,38668969
0,414,40510857
1,515,45455127
11,683,37284717
1,388,42512053
1,443,40010479
0,325,39143488
4,632,41583802
4,363,31575565
3,553,42397178
1,293,35837362
0,350,36455478
1,401,34883662
4,547,44574711
3,464,44948498
1,462,48036009
2,624,51036594
8,551,38500604
0,337,34307515
6,650,45655331
4,431,45856680
0,387,36300892
1,320,43328244
6,381,40238222
8,625,42502033
12,571,42429849
10,451,37302828
6,396,35153200
1,264,39128751
1,509,40695794
2,289,40126498
1,431,44580354
9,421,32807183
9,508,34812048
2,352,39438197
12,487,40110745
10,591,38113739
8,421,36833616
0,681,55817510
19,478,29365790
1,458,40068365
2,497,39261321
2,358,43253693
0,193,34772494
2,363,40612594
8,501,41862438
4,373,41519348
7,583,54908950
2,381,39326869
2,439,39294085
7,341,29396778
6,381,38948151
4,398,42809793
2,411,38796634
2,490,43702666
3,547,44152803
4,486,38566275
3,526,50526484
3,608,44779584
0,556,57577549
2,376,40740953
6,812,55700082
3,373,36620695
0,296,30817282
12,686,48367932
7,465,35398875
3,359,34213533
1,506,37453937
3,565,44717534
1,351,36189525
10,384,37932930
9,453,32089630
5,255,35264617
11,645,42689814
0,298,40728924
9,442,46695427
1,224,35496810
5,348,44820938
7,480,40528759
11,457,49689785
0,428,33169914
0,502,45545542
6,615,40653977
8,575,35193186
6,532,45525909
4,524,41190332
3,499,42250756
0,403,39246392
4,380,34947272
7,564,50978176
4,567,43927872
3,302,28087454
4,500,42651869
3,437,38167186
0,208,26126815
3,416,40216150
1,344,45865120
3,178,27637581
1,559,40993847
5,422,40665238
6,300,36305786
4,337,40925609
2,600,54352177
1,578,48721809
13,394,39211457
9,509,41233864
13,494,46783352
5,564,48047442
7,401,44930251
1,200,27003036
8,275,26882907
2,585,43659715
3,306,35709185
8,498,41054584
11,571,44127404
8,330,39730231
4,342,42794164
7,433,34459991
8,470,46714298
3,404,34777285
0,333,46227129
0,538,45148276
8,439,43618610
5,336,38130120
0,365,33318157
4,372,43424163
2,417,41895946
4,419,44276100
6,486,44590710
13,572,45062861
9,473,36305239
2,399,38910787
6,600,41738571
4,521,45600640
3,186,31782912
2,403,39579683
0,405,41703410
1,346,44340561
10,456,46114374
2,272,38927052
4,372,42200857
9,495,46274944
5,437,40588888
8,716,50064052
7,592,50135252
8,583,47863832
2,586,43046389
5,361,40162417
6,382,40927835
4,649,55388362
6,357,35850671
3,652,54799207
3,360,38745920
2,427,41112941
3,691,47847025
2,749,43618328
0,487,45497402
5,485,35537218
1,584,44598869
6,467,45837426
1,174,31069432
2,529,38062402
1,279,39518901
5,303,34505568
0,384,40225165
9,535,47078050
3,547,42782568
3,437,36270909
4,421,35273036
4,346,37600115
3,388,44263849
12,365,41812129
2,580,42466443
5,328,36780924
1,173,30003496
0,517,49044941
12,750,47534436
11,296,34508371
2,408,51431531
0,294,28966007
5,418,41839199
11,651,52927809
1,421,29599446
7,328,37577347
1,375,41299656
17,415,34250650
5,347,31531890
8,395,40426031
5,452,52678509
8,474,37084043
4,398,36781784
7,457,42243088
5,417,44584173
0,443,40820993
2,284,39710324
3,431,40273427
2,423,35380937
5,614,40367309
2,478,52286918
2,558,38247872
3,346,37214479
4,312,31997229
10,401,37720546
8,488,34606664
2,312,41386844
5,302,24503909
5,436,41334645
5,500,36418562
4,466,42722978
1,356,45309555
1,377,25067421
1,604,41351471
2,379,44829397
3,563,41463191
0,387,42013228
6,520,35857334
5,344,38548728
4,548,39251010
7,546,43649705
1,402,35528628
2,237,30501609
4,675,46487145
2,341,38326850
0,350,39168624
4,443,48309631
2,348,37808275
10,318,33691753
6,365,38345652
0,320,36762472
0,389,33980357
1,449,42924649
4,451,39532308
7,433,44971896
8,438,35534270
11,424,32261521
8,295,34258938
5,533,42721693
1,347,38435790
1,597,31514050
4,326,34869754
7,401,33853411
6,319,37308284
5,384,46859483
1,525,42121513
2,275,40318459
2,476,49734315
4,214,31525720
1,506,46269283
6,433,45537435
5,424,41831006
3,609,39238546
3,464,46654166
5,445,43571548
2,446,48013181
5,347,41462084
0,302,40091721
10,439,34520686
0,253,33557521
19,781,41670049
8,528,44106671
10,407,34804967
2,437,33414408
12,605,43892606
7,345,37426305
5,323,41511281
3,456,39711471
3,768,53946965
2,354,43784432
0,333,32699195
7,443,47513725
9,471,36296147
10,426,43228056
9,693,49802510
3,287,44304426
5,441,47031617
0,388,41856919
1,265,34649069
6,379,40599210
3,580,42092102
0,264,36665030
2,433,36513402
11,599,45075994
7,749,42480152
6,318,33847961
13,531,41583889
14,299,33977425
5,400,47812370
2,416,31641402
3,411,37116339
2,297,41938553
4,478,33985378
5,569,41738492
7,373,36716896
10,480,39645396
5,503,39613219
2,271,30324297
6,402,36727239
6,405,40533512
2,520,32732812
4,537,44607623
0,382,49498069
6,501,42308890
6,487,44401607
1,313,41226359
1,425,43316901
3,479,36825917
7,583,37957559
1,510,40460202
4,297,34284413
6,519,40012755
8,601,45392369
3,485,41409324
11,595,43516988
0,225,28191132
10,574,44236149
2,447,35956709
6,425,38765475
5,430,37932849
1,502,41647634
1,197,31713078
1,300,34711817
5,391,41562757
0,487,48501894
1,289,37753009
8,256,36632039
11,301,34562971
2,541,44146322
9,436,46930246
9,324,37065160
5,436,37977693
3,291,38254194
6,468,42391452
6,484,42326878
2,452,43941915
4,399,38803514
0,389,37380051
9,621,40452383
3,368,32221004
1,369,41329007
3,357,34718680
0,202,28184276
4,532,43327499
2,393,37533889
0,279,33237617
5,489,36561822
5,481,35061647
1,431,47771472
11,478,38784264
3,409,33270425
2,529,48406789
2,540,48754973
7,589,43545366
7,255,24840769
4,434,55448533
4,719,53749698
4,388,37432959
1,380,35278227
13,566,46544926
6,404,39438574
7,354,31463649
3,385,36942699
0,476,42879979
0,254,37152161
4,289,35827356
4,492,37868614
6,320,35439882
3,598,40650731
3,397,41923761
2,243,40654938
0,313,34899624
12,695,43087349
6,509,40692925
6,661,45789684
2,391,30954018
0,296,32095973
4,306,40641007
