Full distribution from 5000 runs
parameter values: 
 rho_m: 0.025000000000000005, gamma_m : 0.005, r_p : 0.05, gamma_p: 0.0005, XapR_R: 1, ka : 0.05, kbi: 25.0, kbe: 0.5, kn: 0.00025, c: 925000.0, chi: 0.8, Ka: 50000.0, Kbi: 500000.0, Kbe: 5000000.0, KxA: 5000000.0, KxI: 500000000.0, expEx: 150, expEc: 150
initial values: 
 mRNA: 0, protein: 0, xanth: 0
mRNA data: ,protein data: ,xanthosine data: 
7,403,34431223
0,31,3437026
4,491,37564691
6,354,30558549
0,0,1489709
1,27,2805938
0,7,2015178
2,23,3015003
3,415,35508653
2,481,38314505
0,14,2521903
13,551,36460086
0,2,1525912
5,511,36261351
0,4,1396869
6,517,38517386
0,14,2446744
1,2,2060943
0,7,2687849
0,8,1669697
7,501,31140897
0,8,2218912
0,0,1760198
1,15,3530598
0,37,4966266
4,546,40701889
0,5,2437397
0,32,3915382
0,26,2345996
5,512,35104764
0,12,2043525
7,446,36439018
0,31,2216208
0,21,1630542
5,361,29523890
6,377,32668529
0,0,1231226
1,0,1656207
0,12,2274635
0,1,1605386
0,3,1544914
0,2,2041073
0,1,1821305
0,27,2373368
0,32,2284806
8,513,36129694
3,550,41847718
0,7,1857998
5,404,31897359
0,0,1304062
0,30,3547213
5,428,37873711
0,9,2205782
1,4,1884427
0,7,2269545
0,3,1686937
2,511,44336704
7,465,33591324
0,7,2121021
3,457,36885560
0,4,1527324
0,22,1465182
0,53,4908650
0,10,2745116
4,458,30981909
0,11,1872256
4,404,32054978
3,420,35608836
3,447,34170145
3,327,35634878
0,4,1848100
1,389,41719552
8,641,42470790
5,432,34322554
0,27,1951992
5,442,34704835
0,32,2583349
0,2,2166049
0,26,2554265
1,17,1830653
5,358,33330660
0,10,1922208
2,104,7078694
0,13,2497626
0,2,1396392
0,23,2232089
0,28,3122195
0,14,3175834
0,9,1683854
1,24,2777665
0,0,1321083
0,0,1366743
0,22,2406667
3,445,33717969
0,2,1375396
2,22,1531284
0,4,2352682
6,426,36944573
4,410,36407470
0,28,3687636
0,4,2312993
9,424,36237618
0,12,2786857
0,3,2145537
0,8,2809788
0,2,1956642
3,363,29555921
0,13,2646180
0,0,1217517
3,477,41319328
7,331,30205585
4,335,34548202
1,10,2531288
3,391,37414604
2,42,3074617
0,11,2506564
0,3,2030584
0,3,1444584
1,75,5040762
0,1,1763558
2,363,36269443
0,0,1760723
0,9,2127396
0,4,1313656
1,2,1822581
0,0,1302676
9,724,41064163
0,3,2134600
0,7,1865543
0,25,2325198
4,457,35328745
0,1,1529448
3,446,34368926
1,28,1878052
0,2,1885074
0,56,3297879
0,5,1667179
0,4,1560707
3,475,35577585
7,570,39286518
0,22,2101289
0,1,1459586
1,9,1335823
0,40,2556000
5,491,39624111
5,470,39206854
0,28,3097046
4,528,37498700
6,373,32650766
0,4,1315007
0,65,5052710
6,449,36555646
4,406,38595049
0,4,2480599
5,430,39069267
0,5,1399146
4,468,36571815
5,449,35637668
